事件名称,综合影响力,媒体参与家数,央媒得分,公众舆论指数,平均传播速度（条/小时）_对数变换,峰值传播速度（条/小时）_对数变换,事件持续时长(小时)_对数变换,渠道总数_对数变换,意见领袖总影响力(万)_对数变换,首发媒体权威度_1级,首发媒体权威度_2级,首发媒体权威度_3级,首发媒体权威度_4级,媒体权威度等级,是否为谣言
华为智选车推出独立门店,58.1,10,0.0,0.005,1.098612289,4.465908119,5.313205979,3.295836866,7.686621335,0,1,0,0,2,0
理想L7清远重大追尾事故,70.6,29,0.58,0.066,3.433987204,6.17586727,5.313205979,4.691347882,8.812992232,0,1,0,0,2,0
福建泉州一化工厂起火,60.6,26,0.81,0.011,1.098612289,4.927253685,5.38907173,4.110873864,7.651595574,0,0,1,0,3,0
马来西亚歌手许佳玲被粉丝杀害,61.0,6,0.17,0.011,1.609437912,5.043425117,5.129898715,2.833213344,8.98794654,0,1,0,0,2,0
格力电器股价跌至年内新低,66.8,27,0.41,0.022,2.397895273,5.123963979,5.129898715,4.49980967,8.61395686,0,1,0,0,2,0
WPS正式关闭第三方商业广告,65.2,35,0.93,0.021,2.397895273,6.228511004,5.129898715,4.317488114,8.584103897,0,0,1,0,3,0
日本东芝正式退市,66.8,73,1.68,0.021,2.197224577,4.997212274,5.129898715,5.283203729,8.730205596,0,0,1,0,3,0
黑龙江一煤矿发生事故致12死13伤,70.0,58,1.91,0.052,2.302585093,6.33150185,5.424950017,5.616771098,8.816853241,0,0,1,0,3,0
广东五大都市圈发展规划出炉,64.1,28,0.93,0.011,2.079441542,4.615120517,4.976733742,4.691347882,7.469083885,0,0,1,0,3,0
大众/奥迪/保时捷将在北美采用特斯拉充电标准,61.2,12,0.12,0.007,2.708050201,6.03068526,5.209486153,3.496507561,8.108924156,0,0,1,0,3,0
丰田汽车子品牌被曝碰撞测试造假,62.3,29,0.87,0.007,1.791759469,3.610917913,4.976733742,4.317488114,8.553717966,0,1,0,0,2,0
电竞俱乐部Gen.G就海外社媒文案错误表述致歉,54.4,5,0.06,0.002,1.098612289,3.663561646,4.976733742,2.564949357,8.507546814,0,1,0,0,2,0
2024第四届淘宝丑东西颁奖盛典,54.2,8,0.29,0.001,0.693147181,2.63905733,5.424950017,2.833213344,8.23164218,0,1,0,0,2,0
“结婚16年3娃非亲生”案将开庭,74.9,33,0.64,0.085,2.890371758,5.552959585,5.666426688,5.978885765,9.164191716,0,0,1,0,3,0
泰国瑞幸向中国瑞幸索赔100亿泰铢,69.6,45,1.22,0.037,2.833213344,5.384495063,5.030437921,5.267858159,8.651199471,0,0,1,0,3,0
苹果客服回应7部手机均无地震预警,69.3,17,0.23,0.02,2.944438979,6.584791392,5.068904202,4.382026635,9.55314963,0,0,1,0,3,0
新疆阿图什市发生5.5级地震,74.3,60,2.32,0.041,3.36729583,7.271008538,5.075173815,6.171700597,8.999619341,1,0,0,0,1,0
小米发布《关于小米汽车相关恶意泄密及谣言的声明》,69.1,40,1.04,0.022,2.63905733,5.411646052,4.976733742,5.370638028,9.171079658,0,0,1,0,3,0
网传爱尔眼科一医生猛捶患者头部,70.9,29,0.75,0.04,2.995732274,5.402677382,4.976733742,4.955827058,8.9226583,0,1,0,0,2,0
官方通报湖北一村镇银行行长中毒身亡,62.2,29,0.7,0.01,1.609437912,4.682131227,5.049856007,4.442651256,8.037220031,0,1,0,0,2,0
浙江发改委：推动杭州市有序取消小客车限行限牌等政策,51.2,5,0.17,0.003,0.693147181,3.761200116,5.049856007,2.397895273,7.106606138,0,1,0,0,2,0
阿宽食品撤回上市申请,52.6,4,0.06,0.002,0.693147181,3.17805383,5.049856007,2.079441542,6.226536669,0,1,0,0,2,0
哈尔滨冰雪大世界致歉,71.5,35,0.87,0.033,3.295836866,5.686975356,5.303304908,5.003946306,9.117018215,0,1,0,0,2,0
劳荣枝被执行死刑,74.9,74,2.09,0.11,3.433987204,7.224753406,5.153291594,5.993961427,9.279119887,1,0,0,0,1,0
张雪峰注册“雪峰甄选”商标,56.4,13,0.29,0.006,1.098612289,4.465908119,5.192956851,3.17805383,7.570443252,0,0,1,0,3,0
蔚来获阿布扎比CYVN新一轮战略投资,67.5,29,0.7,0.015,2.397895273,4.96284463,5.192956851,4.382026635,8.813735892,0,0,1,0,3,0
盐津铺子3.5亿元入股零食很忙,58.4,11,0.12,0.003,1.098612289,3.496507561,5.192956851,2.995732274,7.391415235,0,0,1,0,3,0
多国数家公司宣布暂停红海航行,73.5,53,2.26,0.05,3.218875825,4.86753445,5.192956851,5.693732139,9.344871265,0,0,1,0,3,0
多家银行关停特色存款产品,51.2,6,0.7,0.001,0.693147181,2.564949357,5.192956851,2.302585093,5.252273428,0,1,0,0,2,0
李斌回应不再是蔚来最大股东,68.9,31,0.7,0.022,2.890371758,4.812184355,5.192956851,4.804021045,8.944028325,0,1,0,0,2,0
中小银行集体上浮存款利率,65.4,47,1.8,0.014,2.079441542,4.143134726,5.192956851,4.905274778,8.510571315,0,0,1,0,3,0
央行召开经济金融形势专家座谈会,59.4,16,1.04,0.006,1.386294361,4.33073334,5.192956851,3.218875825,7.113142109,1,0,0,0,1,0
董宇辉成东方甄选高级合伙人,82.6,57,1.51,0.28,4.859812404,7.837948916,5.455321115,6.234410726,9.375939553,0,0,1,0,3,0
非银行支付机构监管条例正式公布,70.8,115,5.1,0.063,3.044522438,5.978885765,5.318119994,5.934894196,7.242082359,1,0,0,0,1,0
商汤科技董事长汤晓鸥离世,71.6,66,1.91,0.067,3.218875825,6.793466133,5.365976015,5.638354669,9.089979015,0,1,0,0,2,0
东方甄选免去孙东旭CEO职务,79.4,55,2.03,0.24,4.204692619,8.224163513,5.375278408,6.133398043,9.260748275,0,0,1,0,3,0
笑果脱口秀演员线下开演,52.2,3,0.06,0.002,0.693147181,3.33220451,5.429345629,2.079441542,8.405367376,0,1,0,0,2,0
明喆集团IPO终止,52.5,2,0.17,0.003,0.693147181,2.564949357,5.159055299,1.945910149,7.323830566,1,0,0,0,1,0
汾酒集团原董事长李秋喜去世,59.3,12,0.29,0.009,1.386294361,3.63758616,5.159055299,3.663561646,7.488852956,1,0,0,0,1,0
鼠头鸭脖责任方被罚706万,68.2,46,1.04,0.052,2.48490665,6.333279628,5.262690189,5.187385806,8.782169426,0,1,0,0,2,0
华为北京举办操作系统大会,49.4,4,0.17,0.001,0.693147181,2.197224577,5.129898715,1.945910149,6.90475077,1,0,0,0,1,0
元梦之星上线,86.3,40,1.15,0.26,6.272877007,9.650400125,6.73459166,5.33753808,9.848291917,0,1,0,0,2,0
WPS宣布关闭第三方广告,65.7,36,0.98,0.021,1.609437912,6.230481448,6.224558429,4.477336814,8.584103897,0,0,1,0,3,0
四川泸州3.8级地震,67.4,22,0.64,0.025,2.197224577,6.131226489,5.209486153,4.043051268,8.336630088,1,0,0,0,1,0
佟丽娅入股陈思诚公司,61.9,10,0.35,0.012,1.609437912,4.624972813,5.209486153,3.761200116,8.772455373,0,0,1,0,3,0
北京地铁昌平线事故,77.8,83,2.32,0.16,3.737669618,6.889591308,5.262690189,6.778784898,9.323669057,0,0,1,0,3,0
证监会严厉打击“伪私募”,56.7,9,0.35,0.002,1.098612289,3.433987204,5.262690189,2.397895273,7.645875825,0,1,0,0,2,0
工银瑞信基金副总经理杜海涛离世,58.8,9,0.12,0.006,1.098612289,4.127134385,5.262690189,3.610917913,8.267705665,0,1,0,0,2,0
北京上海优化购房政策,71.3,68,3.07,0.034,2.708050201,5.929589143,5.262690189,5.730099783,8.668883705,0,0,1,0,3,0
格力董明珠怒斥孟羽童,77.9,48,1.04,0.091,4.127134385,6.802394763,5.262690189,6.102558595,9.189116736,0,1,0,0,2,0
vivo S18系列正式发布,72.8,33,0.87,0.07,3.218875825,6.586171655,5.129898715,5.424950017,9.16062478,0,0,1,0,3,0
盒马总部IP地址被山姆APP屏蔽,60.4,12,0.06,0.01,1.609437912,4.304065093,4.9698133,3.401197382,8.399984991,0,1,0,0,2,0
特斯拉召回超203万辆车,69.2,63,2.09,0.024,2.995732274,5.552959585,4.983606622,5.220355825,8.68270763,0,0,1,0,3,0
微信短剧小程序开始收取保证金,56.1,10,0.35,0.003,1.386294361,4.248495242,5.049856007,2.708050201,7.367708572,0,1,0,0,2,0
工信部公开小米汽车续航信息,59.1,14,0.23,0.007,1.386294361,3.63758616,5.049856007,3.295836866,8.611229833,0,1,0,0,2,0
蔚来回应品鉴白酒后参与试驾,57.6,9,0.12,0.006,1.098612289,3.931825633,5.049856007,3.044522438,7.310550159,0,1,0,0,2,0
保利发展启动回购A股股份,55.7,8,0.46,0.005,1.098612289,3.688879454,5.049856007,2.48490665,7.093404626,0,1,0,0,2,0
2023世界羽联巡回赛杭州总决赛,72.1,53,1.55,0.032,2.708050201,5.262690189,5.484796933,5.942799375,8.735042754,1,0,0,0,1,0
联想大厦LOGO被涂成“华为”,68.1,11,0.0,0.04,3.044522438,6.708084084,5.111987788,3.610917913,8.941807118,0,1,0,0,2,0
何润东拍戏时遭遇车祸,60.0,15,0.41,0.013,1.386294361,4.290459441,5.135798437,3.931825633,8.449342525,0,1,0,0,2,0
碧桂园高管配车及免费食堂已取消,62.5,20,0.29,0.017,1.609437912,4.454347296,5.135798437,3.988984047,8.327726166,0,0,1,0,3,0
东方甄选小作文风波,91.5,96,2.78,0.51,5.976350909,8.774931387,5.916202063,7.784057003,9.709902803,0,1,0,0,2,0
菜鸟APP崩了,64.7,29,0.35,0.022,2.63905733,6.673297968,5.192956851,4.317488114,8.178077464,0,1,0,0,2,0
万达380亿元对赌危机解除,68.6,36,0.93,0.024,2.397895273,4.875197323,5.192956851,4.976733742,8.621553207,0,0,1,0,3,0
花呗借呗原运营主体已去除贷款业务,54.8,12,0.17,0.005,0.693147181,3.931825633,5.192956851,3.091042453,6.625392368,0,1,0,0,2,0
“成都地铁偷拍事件”一审宣判,71.4,41,0.7,0.044,2.708050201,5.739792912,5.192956851,5.209486153,9.105313134,0,1,0,0,2,0
碧桂园四名董事自愿减薪,63.8,21,0.52,0.018,1.791759469,4.532599493,5.192956851,4.290459441,8.34877454,0,0,1,0,3,0
习近平对越南进行国事访问,84.3,154,7.49,0.29,4.941642423,7.142827401,5.192956851,8.085794701,9.336444249,1,0,0,0,1,0
中央定调2024楼市积极化解风险,58.8,17,0.7,0.005,1.098612289,3.044522438,5.192956851,3.761200116,7.011213987,0,0,1,0,3,0
成都地铁官微被指内涵网友住嘴,55.8,4,0.0,0.006,1.098612289,4.521788577,5.262690189,2.772588722,8.537583881,0,1,0,0,2,0
喜茶loopy联名,53.8,2,0.0,0.001,1.098612289,3.526360525,5.620400866,1.386294361,7.195937226,0,1,0,0,2,0
周海媚因病离世,80.8,64,0.99,0.24,4.65396035,7.892825526,5.214935758,6.562444094,9.375939553,0,0,1,0,3,0
WBG宣布TheShy离队,65.1,4,0.0,0.018,2.944438979,6.445719819,5.236441963,2.944438979,8.989319566,0,0,1,0,3,0
苹果在中国高端手机市场份额大跌,55.3,0,0.0,0.007,1.098612289,3.044522438,5.247024072,2.079441542,8.856945756,0,0,0,1,4,0
阅文集团拟收购腾讯动漫相关业务,65.2,34,1.04,0.025,2.079441542,5.446737372,5.257495372,4.343805422,7.685703061,0,0,1,0,3,0
前羽毛球国手于小渝意外溺亡,58.6,7,0.06,0.021,1.098612289,4.564348191,5.257495372,2.63905733,7.723562472,0,0,1,0,3,0
中国和埃及两国航天局签署合作文件,57.1,14,0.87,0.007,1.098612289,3.871201011,5.267858159,3.135494216,8.315077007,0,0,1,0,3,0
T1官宣Rekkles加入,51.7,0,0.0,0.006,0.693147181,3.931825633,5.267858159,1.098612289,8.392989588,0,0,0,1,4,0
瑞幸被曝洗手流程致员工烂手,62.1,19,0.29,0.028,1.791759469,4.8978398,4.976733742,4.077537444,8.285513309,0,0,1,0,3,0
李宁年内股价跌近70%,65.9,20,0.52,0.056,2.564949357,5.545177444,4.976733742,4.077537444,8.382518288,0,1,0,0,2,0
泸州老窖回应核心产品降价,54.3,6,0.29,0.008,0.693147181,3.891820298,4.976733742,2.564949357,7.003974137,0,0,1,0,3,0
三家汽车品牌质疑懂车帝冬测,76.9,49,2.21,0.22,4.060443011,7.151485464,5.318119994,5.80814249,9.245514447,0,0,1,0,3,0
三部门调整减免车辆购置税新能源汽车产品技术要求,67.4,88,3.19,0.044,2.197224577,5.262690189,5.318119994,5.393627546,8.173575487,0,1,0,0,2,0
老人30万定期变理财亏2万多,49.4,2,0.12,0.0,0.693147181,2.772588722,4.976733742,1.386294361,7.303170051,0,0,1,0,3,0
辛选集团CEO管倩离职,58.6,8,0.12,0.013,1.386294361,3.555348061,5.056245805,3.135494216,7.78113851,0,1,0,0,2,0
吉祥航空否认偏袒外籍旅客,60.9,4,0.12,0.052,1.609437912,4.718498871,5.068904202,3.044522438,8.551401363,0,0,1,0,3,0
加拿大鹅9500元羽绒服被疑瑕疵品,59.4,7,0.29,0.011,1.098612289,4.718498871,5.068904202,3.295836866,8.211211362,0,1,0,0,2,0
华夏银行天津分行行长坠楼,61.8,16,0.41,0.046,1.609437912,4.770684624,5.129898715,4.043051268,8.210396255,0,1,0,0,2,0
理想汽车智能软件发布会,67.6,27,0.99,0.092,3.295836866,6.313548046,5.129898715,4.060443011,9.016755623,0,0,1,0,3,0
杨丞琳“河南人爱骗人”言论争议,76.6,32,0.7,0.23,4.262679877,6.693323668,5.262690189,5.407171771,9.355392644,0,0,1,0,3,0
张雪峰“文科都是服务业”引争议,74.9,42,0.81,0.21,3.663561646,5.638354669,5.262690189,5.743003188,9.218010878,0,1,0,0,2,0
原神三星堆联动,47.9,8,0.29,0.005,1.098612289,2.995732274,5.262690189,2.302585093,8.194781638,1,0,0,0,1,0
大张伟演唱会擅改演出内容被罚,61.2,11,0.17,0.039,1.609437912,5.187385806,5.342334252,3.761200116,8.881975184,0,0,1,0,3,0
个人网贷信息正全面接入征信系统,59.8,15,0.35,0.016,1.386294361,3.465735903,5.347107531,3.610917913,7.500529485,1,0,0,0,1,0
AppleMusic国区涨价,56.1,7,0.12,0.013,0.693147181,3.465735903,5.129898715,2.890371758,7.961718816,0,1,0,0,2,0
上海自贸区高水平开放方案发布,56.6,3,0.17,0.013,0.693147181,3.135494216,5.129898715,2.397895273,6.386879319,0,1,0,0,2,0
宁波余姚新发现一处古稻田遗址,52.9,24,0.64,0.006,0.693147181,2.833213344,5.129898715,3.713572067,7.044032897,0,0,1,0,3,0
电影《瞒天过海》上映,70.8,23,0.4,0.045,2.772588722,4.736198448,5.666426688,4.59511985,10.73033486,0,0,1,0,3,0
小米× 原神联名,65.3,8,0.0,0.042,2.708050201,5.393627546,5.262690189,4.060443011,9.071882579,0,0,1,0,3,0
女子银行办业务柜员闭目葛优瘫,53.0,2,0.06,0.0,0.693147181,4.043051268,5.379897354,1.791759469,7.640603826,0,1,0,0,2,0
茶百道剑网3联名,61.8,2,0.0,0.006,1.791759469,5.342334252,6.315358002,2.302585093,7.634820678,0,0,0,1,4,0
连云港3.8级地震,65.3,26,0.87,0.05,2.079441542,6.180016654,5.135798437,4.356708827,8.451267041,1,0,0,0,1,0
支付宝启动鸿蒙原生应用开发,65.8,30,0.35,0.074,2.197224577,5.356586275,5.187385806,4.48863637,9.164715194,0,0,1,0,3,0
中国和新加坡将互免签证,68.6,33,0.93,0.08,2.397895273,5.18178355,5.209486153,4.997212274,9.110409533,0,1,0,0,2,0
李金柱被开除党籍,60.2,31,1.1,0.028,1.098612289,5.272999559,5.214935758,4.204692619,8.139440522,0,1,0,0,2,0
江西民政厅调查2亿彩票事件,76.0,48,0.99,0.17,3.465735903,5.908082938,5.33753808,5.811140993,9.107532152,0,0,0,1,4,0
广西27车追尾致2死4伤,60.6,16,0.52,0.025,1.098612289,4.48863637,5.220355825,4.077537444,6.793466133,1,0,0,0,1,0
2023世界新能源汽车大会开幕,66.9,42,2.73,0.035,2.197224577,4.143134726,5.262690189,5.192956851,8.444837529,0,0,1,0,3,0
2024款北京奔驰A级改款车型上市,54.4,4,0.0,0.009,0.693147181,2.772588722,5.262690189,1.945910149,6.69950034,0,1,0,0,2,0
奚国华任中国中信集团党委书记,58.5,24,0.87,0.021,1.098612289,4.682131227,4.976733742,3.784189634,5.609471795,0,1,0,0,2,0
王健林拟转让万达投资51%股权,65.9,23,0.35,0.05,2.197224577,5.117993812,5.036952602,4.094344562,8.741136423,0,1,0,0,2,0
2023世界5G大会在郑州开幕,67.9,50,2.79,0.037,2.48490665,4.343805422,5.036952602,5.613128106,7.17395832,0,0,1,0,3,0
财政部拟下调社保基金两项费率上限,66.7,56,2.33,0.06,2.302585093,5.669880923,5.036952602,4.927253685,7.890582535,0,0,1,0,3,0
良品铺子起诉赵一鸣,61.9,20,0.47,0.02,1.791759469,4.025351691,5.036952602,3.988984047,8.193400232,0,0,1,0,3,0
宁波一小学家长会只允许爸爸参加,54.7,7,0.17,0.007,0.693147181,3.828641396,5.036952602,2.890371758,7.670428522,1,0,0,0,1,0
春晚回应吉祥物争议,74.2,85,2.04,0.14,3.850147602,6.255750042,5.036952602,5.963579344,9.410419984,0,0,1,0,3,0
博主帮维权被五菱要求连续道歉15天,56.9,6,0.06,0.006,1.386294361,3.761200116,5.036952602,2.397895273,7.804251384,0,0,1,0,3,0
五菱星光PHEV正式上市,66.6,34,0.64,0.042,2.772588722,5.717027701,5.036952602,4.158883083,8.682029434,0,1,0,0,2,0
瑞幸星巴克回应被检出致癌物,71.9,52,1.33,0.12,2.944438979,6.28785856,5.262690189,5.537334267,8.887376485,0,0,1,0,3,0
江苏银行员工举报被领导施压发生性关系,66.8,20,0.52,0.07,2.302585093,4.912654886,5.18178355,4.59511985,8.778787929,0,1,0,0,2,0
